step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
44021,71.93125801028896,0.9398655295372008,46.993276476860046,-1.0,-0.7770399,-1.0,-0.499258,-60.0,1.0,136720
11541,71.92770911106311,0.9397960305213928,46.98980152606964,-0.0066995025,-0.0036129951,0.017346263,-0.77726007,-20.0,1.0,148209
3174,71.92711864187913,0.9397844672203064,46.98922336101532,-1.0,-1.0,0.97176415,-0.9275093,-43.05714726448059,1.0,160000
60204,71.9208487020292,0.9396616816520692,46.983084082603455,-1.0,-1.0,-1.0,-0.72313964,-47.43628799915314,1.0,160000
51630,71.91760719730472,0.9395982027053832,46.979910135269165,-1.0,-1.0,0.078507364,-0.9493873,-45.25386214256287,1.0,160000
43298,71.91733022344994,0.9395927786827089,46.97963893413544,-0.3417406,-0.88477665,-1.0,-0.7661308,-60.0,1.0,100325
24619,71.9109385098502,0.9394676089286804,46.97338044643402,-1.0,-0.61464095,-1.0,-0.62574524,-40.71757376194,1.0,158390
50870,71.90770612221436,0.939404308795929,46.97021543979645,-1.0,-1.0,-1.0,-0.04924705,-53.7694525718689,1.0,94991
39063,71.90656778499792,0.939382016658783,46.96910083293915,-1.0,-0.8353089,-1.0,-0.610374,-39.51795011758804,1.0,160000
14721,71.90412370613063,0.9393341541290284,46.966707706451416,-0.7859901,-0.35207433,-1.0,-0.14936337,-56.09524607658386,1.0,160000
939,71.90012125505575,0.9392557740211488,46.96278870105744,-0.7625929,-0.28231794,-0.88879335,-0.98198557,-21.68765544891357,1.0,160000
21679,71.89951556033209,0.9392439126968384,46.96219563484192,-0.60049427,-1.0,-1.0,0.61285686,-60.0,1.0,160000
2520,71.89880637987507,0.9392300248146056,46.961501240730286,-0.70863247,-0.7265737,-1.0,-0.56390834,-45.34769713878632,1.0,160000
3153,71.89707147397269,0.9391960501670836,46.95980250835419,-1.0,-0.6682801,-1.0,-0.81243646,-41.88234522938728,1.0,160000
15350,71.89592704409975,0.9391736388206482,46.95868194103241,-0.27085924,-1.0,-0.34332642,-0.066023976,-43.43051433563232,1.0,160000
17424,71.89410386873766,0.9391379356384276,46.95689678192139,-1.0,-1.0,-1.0,-0.35591447,-30.49507439136505,1.0,160000
23579,71.88769687206913,0.9390124678611756,46.95062339305878,-1.0,-1.0,-0.46952045,-0.14132816,-60.0,1.0,113554
60973,71.8855571442645,0.9389705657958984,46.94852828979492,-1.0,-1.0,-1.0,-0.42995676,-20.0,1.0,160000
39719,71.88176772100424,0.9388963580131532,46.94481790065765,-0.38235742,-1.0,-0.4504673,-0.7420089,-22.057347297668457,1.0,160000
26065,71.88062937094932,0.9388740658760072,46.943703293800354,-1.0,-1.0,-0.4671283,-0.4933063,-23.77366304397583,1.0,160000
40919,71.8749223935928,0.9387623071670532,46.93811535835266,-1.0,-0.16764247,1.0,-0.6126214,-36.89774423837662,1.0,160000
6904,71.87372925306899,0.9387389421463012,46.93694710731506,-1.0,-1.0,-0.076582074,-0.7186395,-28.10673952102661,1.0,160000
50062,71.87172343635348,0.9386996626853944,46.934983134269714,0.05427265,-0.0985921,-1.0,-0.8921578,-38.5233111679554,1.0,160000
24608,71.86240351841568,0.938517153263092,46.9258576631546,-0.5021741,-1.0,-0.7973063,-0.798421,-34.499494433403015,1.0,160000
45163,71.85767353906594,0.9384245276451112,46.921226382255554,-1.0,-1.0,-0.28050292,-0.57590693,-55.86400985717773,1.0,160000
37512,71.85288876239835,0.9383308291435242,46.91654145717621,-1.0,-1.0,-1.0,-0.92508674,-33.61098289489746,1.0,160000
56917,71.85045375772138,0.938283145427704,46.91415727138519,-1.0,-1.0,-1.0,-0.6089064,-60.0,1.0,160000
508,71.8449628126959,0.938175618648529,46.90878093242645,-1.0,-0.7838383,-1.0,0.052766502,-51.3656747341156,1.0,160000
10326,71.84139856141647,0.9381058216094972,46.90529108047485,-1.0,-1.0,0.8303757,-0.9163859,-20.0,1.0,160000
55378,71.8411854975438,0.9381016492843628,46.90508246421814,-1.0,0.119236946,-1.0,0.1585909,-37.92429447174072,1.0,144589
40253,71.84107287806027,0.938099443912506,46.904972195625305,-1.0,-1.0,-0.37645742,-0.5934946,-39.57304328680039,1.0,108511
60259,71.84065283777562,0.9380912184715272,46.90456092357636,-1.0,-0.30163258,-1.0,-0.25691187,-60.0,1.0,142458
39354,71.83867742989868,0.938052535057068,46.902626752853394,0.027450204,-0.95078355,-0.027463198,-0.25397807,-20.0,1.0,160000
23812,71.83177414217431,0.9379173517227172,46.89586758613586,-0.95091504,-0.949068,-1.0,-0.6563064,-20.0,1.0,149220
3961,71.8284381544184,0.9378520250320436,46.89260125160217,-0.03144431,-1.0,0.14923185,-0.9865675,-37.20147520303726,1.0,160000
11656,71.82452992901435,0.937775492668152,46.88877463340759,-1.0,-1.0,-0.08515149,-0.63008404,-21.754181385040283,1.0,160000
37123,71.82025339747904,0.9376917481422424,46.88458740711212,-1.0,-1.0,-1.0,-0.59051096,-20.0,1.0,160000
38319,71.81987901035285,0.9376844167709352,46.88422083854675,-0.5905628,-1.0,1.0,-0.6521145,-57.11331844329834,1.0,93694
11966,71.81788227798076,0.9376453161239624,46.88226580619812,-1.0,-1.0,-0.15766412,0.30885428,-60.0,1.0,156822
61091,71.81675302765292,0.9376232028007508,46.88116014003754,-1.0,-1.0,-1.0,0.23933785,-36.30213648080826,1.0,72063
42979,71.80924395539513,0.9374761581420898,46.87380790710449,-1.0,-1.0,-0.7942349,-0.6915799,-20.0,1.0,131294
10547,71.80839777546306,0.9374595880508424,46.872979402542114,-1.0,-1.0,-0.56750906,-0.80967325,-20.0,1.0,160000
50703,71.80656844295937,0.9374237656593324,46.87118828296661,-0.22370648,-1.0,-0.013005555,-0.056069113,-42.99667418003082,1.0,115723
46454,71.8047025831776,0.937387228012085,46.86936140060425,-0.9337224,-1.0,-1.0,-0.33685517,-20.0,1.0,160000
46125,71.80264800498821,0.9373469948768616,46.86734974384308,-0.5356053,-1.0,-0.5341556,-0.9497628,-22.444950342178345,1.0,160000
58894,71.79695909665485,0.9372355937957764,46.86177968978882,-0.56459963,-1.0,-0.75354445,-0.96556365,-60.0,1.0,123844
49613,71.78862203532262,0.9370723366737366,46.85361683368683,-0.05663407,-1.0,-1.0,-0.6622601,-47.6264089345932,1.0,160000
26393,71.78404713992015,0.9369827508926392,46.84913754463196,-1.0,-1.0,-1.0,-0.31700695,-50.85142493247986,1.0,160000
7995,71.77555175102052,0.936816394329071,46.84081971645355,-1.0,0.08388245,-1.0,0.027421534,-24.74178433418274,1.0,160000
52571,71.77352149755419,0.936776638031006,46.83883190155029,-0.78722537,-0.4731183,-1.0,-0.1797861,-60.0,1.0,128397
