step,session_step,session_progress_pct,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
121728,60288,73.59375,87.26731347854843,0.6054049730300903,62.76917114487149,-0.59285504,-1.0,-0.28315127,0.6027917,-20.866756439208984,1.0,160000
98735,37295,45.526123046875,87.26012267730195,0.6052506566047668,62.762235273965445,-1.0,-1.0,-1.0,0.31506783,-31.65052056312561,1.0,160000
91752,30312,37.001953125,87.25029018201413,0.6050397753715515,62.75275125905792,-0.7798417,0.08769953,-0.69895077,1.0,-27.141778469085693,1.0,160000
101856,40416,49.3359375,87.23236963754866,0.6046558022499084,62.73546554064456,-1.0,-1.0,0.4346093,-0.36404967,-20.0,1.0,160000
110448,49008,59.82421875,87.22163486634895,0.6044260263442993,62.72511085274868,-1.0,-1.0,-1.0,-0.9600911,-31.15540623664856,1.0,160000
139710,78270,95.54443359375,87.20588144675088,0.6040891408920288,62.70991495277398,-1.0,-0.28017277,-0.15421283,0.11522341,-46.650270223617554,1.0,160000
112511,51071,62.34252929687501,87.15266177024066,0.6029537916183472,62.65857648458875,-1.0,-0.1735236,-0.97957915,0.1447187,-32.881426215171814,1.0,160000
121070,59630,72.79052734375,87.12622424277222,0.6023913621902466,62.63307218270505,-1.0,-1.0,-0.8667383,1.0,-20.0,1.0,160000
83620,22180,27.0751953125,87.12545582780429,0.6023750305175781,62.63233087950374,-1.0,-0.62490565,-0.26269644,-0.505593,-20.991612672805783,1.0,142300
104302,42862,52.32177734375,87.12396094642145,0.6023432612419128,62.63088873953911,-1.0,-0.20053184,-1.0,0.38905478,-20.0,1.0,160000
133403,71963,87.845458984375,87.1146235283073,0.6021448969841003,62.621880696617104,-1.0,-1.0,0.13662815,0.23935801,-31.359223127365112,1.0,107762
110555,49115,59.954833984375,87.06470245507298,0.6010865569114685,62.57371878674304,-1.0,-0.7063705,0.911021,-0.37889457,-60.0,1.0,148227
72758,11318,13.81591796875,87.04454276312089,0.6006602048873901,62.55426864867504,-1.0,-0.792657,-1.0,0.8727089,-59.00134086608887,1.0,160000
108016,46576,56.85546875000001,87.03365220509382,0.6004301309585571,62.54376119910266,-1.0,0.2562241,-0.77089727,1.0,-26.78969502449036,1.0,134505
119994,58554,71.47705078125,87.02533769339658,0.6002545952796936,62.53573908003104,-0.5949975,-1.0,-1.0,-0.26917028,-20.0,1.0,160000
62057,617,0.753173828125,87.00630785780915,0.5998532176017761,62.51737814716703,-0.6111931,-1.0,-1.0,0.058790147,-20.0,1.0,117863
84786,23346,28.49853515625,87.00503812366885,0.599826455116272,62.51615302907896,-0.64848685,-1.0,-0.43501723,0.6967182,-21.72200322151184,1.0,154434
75308,13868,16.9287109375,87.00119996546763,0.5997455716133118,62.51244972481088,-1.0,-0.21815407,-1.0,-0.49432254,-45.31263947486877,1.0,160000
65957,4517,5.513916015625,86.98958596359527,0.5995009541511536,62.50124367486482,-1.0,-1.0,-0.96910214,1.0,-25.48429608345032,1.0,155388
142088,80648,98.447265625,86.9879891599893,0.5994673371315002,62.49970294783709,-1.0,-1.0,-1.0,-0.6944245,-24.6664822101593,1.0,160000
109364,47924,58.50097656249999,86.98379246576872,0.5993790030479431,62.4956536187635,-1.0,-0.67880803,1.0,0.26806432,-56.42521381378174,1.0,160000
124298,62858,76.73095703125,86.97739881139731,0.5992444753646851,62.48948443468827,-0.012395024,-1.0,-1.0,0.016850233,-20.0,1.0,160000
67376,5936,7.24609375,86.95111193635711,0.598691999912262,62.4641199382584,-0.3350773,-0.03462696,-0.27125537,1.0,-54.60225820541382,1.0,160000
81148,19708,24.0576171875,86.95000485414593,0.5986687541007996,62.4630516844644,-0.4309491,-1.0,-0.9695218,0.062161565,-38.20536673069,1.0,160000
130512,69072,84.31640625,86.93499700519097,0.5983538031578064,62.44857005942697,-1.0,-1.0,-0.6641077,0.6242647,-20.0,1.0,160000
139248,77808,94.98046875,86.93315262000124,0.5983151197433472,62.44679032606143,-0.9787224,-0.059023023,-1.0,0.85492426,-49.74345862865448,1.0,160000
73578,12138,14.81689453125,86.91180159199055,0.5978676676750183,62.42618743135137,-1.0,-1.0,-1.0,0.16406924,-20.0,1.0,160000
76911,15471,18.885498046875,86.90799853136232,0.5977880358695984,62.42251757262261,-0.39184278,-0.23132974,-0.6583525,-0.62712216,-20.0,1.0,122317
65952,4512,5.5078125,86.90467288818286,0.5977184176445007,62.41930839594125,-1.0,-0.1556803,-1.0,1.0,-44.65464174747467,1.0,120255
143353,81913,99.991455078125,86.90467288818286,0.5977184176445007,62.41930839594125,-1.0,-1.0,-1.0,1.0,-28.230509757995605,1.0,160000
99884,38444,46.9287109375,86.90376446868825,0.5976994037628174,62.41843178772019,-1.0,-1.0,0.42487997,0.19029063,-39.297378063201904,1.0,160000
141106,79666,97.24853515625,86.8991474576759,0.5976027846336365,62.413976441482085,-1.0,-1.0,-1.0,-0.4254579,-20.0,1.0,160000
68817,7377,9.005126953125,86.8867731715794,0.5973439812660217,62.402035318399406,-0.9719325,-0.9742298,-1.0,1.0,-20.0,1.0,160000
94619,33179,40.501708984375,86.8867731715794,0.5973439812660217,62.402035318399406,-0.4535222,-1.0,-1.0,1.0,-27.28886604309082,1.0,160000
67606,6166,7.52685546875,86.87867662775665,0.5971747636795044,62.39422209802901,-1.0,-1.0,-0.6857154,-0.50983495,-40.2266013622284,1.0,160000
87680,26240,32.03125,86.872108264352,0.5970375537872314,62.38788352607876,-1.0,-1.0,-0.21666831,-0.363356,-34.52255606651306,1.0,160000
88339,26899,32.835693359375,86.86547413799425,0.5968990325927734,62.38148144084688,-1.0,0.03220433,-0.8839274,0.9575962,-40.2987939119339,1.0,160000
123654,62214,75.94482421875,86.85770005358032,0.5967367887496948,62.37397920458109,-1.0,-1.0,-1.0,0.29882973,-33.249748945236206,1.0,160000
89108,27668,33.7744140625,86.83385803099704,0.5962397456169128,62.35097046437411,-0.3500303,-0.6710007,-1.0,-0.4035517,-20.0,1.0,113435
108473,47033,57.413330078125,86.8197874115511,0.5959467887878418,62.33739130633295,-0.9779249,-1.0,-1.0,-0.17560601,-49.61464464664459,1.0,160000
112266,50826,62.04345703125001,86.81956114103696,0.5959420800209045,62.337172937171104,-1.0,-1.0,-1.0,0.80719846,-58.53896737098694,1.0,136613
120498,59058,72.09228515625,86.80773294638136,0.5956960320472717,62.32575770006399,-0.7075138,-1.0,0.29088175,-0.8429297,-20.0,1.0,134248
111208,49768,60.751953125,86.80423539007482,0.5956233143806458,62.3223822229746,-1.0,-1.0,-1.0,0.44243723,-20.0,1.0,160000
122324,60884,74.3212890625,86.79687347405998,0.5954703092575073,62.315277222320034,-1.0,-1.0,-1.0,-0.49263716,-47.588613629341125,1.0,160000
77060,15620,19.0673828125,86.79660955836333,0.595464825630188,62.31502251556709,-1.0,-1.0,-0.5116925,-0.7149068,-29.308927059173584,1.0,134492
117451,56011,68.372802734375,86.79365452731082,0.5954034328460693,62.31217059043522,-1.0,-1.0,0.040979028,-0.716337,-20.0,1.6424230337142944,118884
131788,70348,85.8740234375,86.77242976683203,0.5949628353118896,62.291686102199264,-0.90982,-0.82516074,-0.6050411,1.0,-23.282253742218018,1.0,113912
131642,70202,85.69580078125,86.77031193319121,0.5949189066886902,62.28964210551482,-1.0,-1.0,-0.16649866,-0.64985824,-20.0,1.0,108875
92669,31229,38.121337890625,86.769142253077,0.5948946475982666,62.28851320337008,-0.84556544,-1.0,-1.0,-0.12750769,-24.571183919906616,1.0,160000
84747,23307,28.450927734375,86.76885772228431,0.5948887467384338,62.28823859179437,-0.033070207,-1.0,-1.0,0.6753682,-28.73127222061157,1.0,118381
116092,54652,66.7138671875,86.76155001360456,0.5947372317314148,62.281185610247896,-1.0,-1.0,-1.0,-0.51230264,-28.949978351593018,1.0,160000
138167,76727,93.660888671875,86.75751513906211,0.5946536064147949,62.27729135443888,-0.8731808,-1.0,-1.0,-0.039645553,-46.796863079071045,1.0,98375
121236,59796,72.9931640625,86.71162488230867,0.593704104423523,62.23299910505826,-1.0,-0.6028025,-0.28605062,-0.50944686,-29.432142972946167,1.0,160000
65184,3744,4.5703125,86.69475991466196,0.5933558940887451,62.21672081431855,-1.0,-0.60643077,0.58952594,1.0,-27.72713661193848,1.0,160000
105147,43707,53.353271484375,86.69351492419341,0.5933302044868469,62.2155191202228,-1.0,-0.89629376,-1.0,0.37033147,-60.0,1.0,138452
98444,37004,45.1708984375,86.6904496655855,0.5932669639587402,62.212560453017176,-1.0,0.008978128,-1.0,0.6879943,-52.65219926834106,1.0,134055
125933,64493,78.726806640625,86.68487511098996,0.5931519865989685,62.2071797209493,-1.0,-0.29010773,-1.0,0.28122985,-20.0,2.240506172180176,160000
130672,69232,84.51171875,86.68214920511221,0.5930957794189453,62.20454857972626,-0.60750103,-1.0,-1.0,1.0,-60.0,1.0,160000
130680,69240,84.521484375,86.682140532292,0.593095600605011,62.2045402083986,-0.8423043,-1.0,-1.0,1.0,-20.0,1.0,160000
105650,44210,53.96728515625,86.67436186799688,0.5929352641105652,62.19703191901517,-1.0,-1.0,-0.5448786,-0.33628333,-24.753451347351078,1.0,160000
90745,29305,35.772705078125,86.67318459318354,0.5929110050201416,62.195895558595225,-1.0,-1.0,-0.3847081,-0.73519504,-48.72663617134094,1.0,160000
77428,15988,19.5166015625,86.662718086229,0.592695415019989,62.185792730511736,-1.0,-0.056364596,-1.0,0.6964071,-20.0,1.0,160000
73570,12130,14.80712890625,86.64232824503645,0.592275857925415,62.16611101975403,-0.82966554,-0.8910129,-1.0,0.79551226,-41.05078935623169,1.0,160000
93731,32291,39.417724609375,86.64204707074134,0.5922700762748718,62.16583960725939,-0.0478549,-1.0,-0.9893191,-0.7639692,-20.0,1.0,160000
76818,15378,18.77197265625,86.63539879919368,0.5921334028244019,62.15942212438004,-1.0,-1.0,-1.0,0.8911943,-53.49555969238281,1.0,160000
139183,77743,94.901123046875,86.6227058075615,0.5918726325035095,62.14716962091582,-1.0,-1.0,-0.40954298,1.0,-20.0,1.1806789636611938,160000
86942,25502,31.13037109375,86.6159414803787,0.5917337536811829,62.14063996435383,-1.0,-1.0,-1.0,-0.63696957,-32.598063945770264,1.0,160000
137556,76116,92.9150390625,86.6041299613521,0.5914914011955261,62.12923809261649,0.38341522,-1.0,-0.48782757,0.42673385,-35.6100994348526,1.0,160000
110592,49152,60.0,86.58333986542412,0.5910652875900269,62.10916866171415,-1.0,-1.0,0.2946902,1.0,-23.785228729248047,1.0,138264
131335,69895,85.321044921875,86.56206919854348,0.5906299352645874,62.08863482161589,-0.8673602,-0.10990095,-1.0,-0.49916005,-20.29026985168457,1.0,160000
