step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,session_step,session_progress_pct
126220,83.58919834586483,0.5350872874259949,59.214523735323,-1.0,-0.5924795,-0.50496954,0.94851774,-47.44118332862854,1.0,114583,64780.0,79.0771484375
88627,83.58500930557705,0.5350155234336853,59.210468820451126,-1.0,-0.97001946,-0.10052866,0.27392453,-54.97703909873962,1.0,160000,27187.0,33.187255859375
124759,83.57967074891533,0.5349240899085999,59.2053011772204,-1.0,-0.7297744,-1.0,-0.23907799,-60.0,1.0,158881,63319.0,77.293701171875
99494,83.57148943567522,0.5347840189933777,59.19738175021747,-0.7105833,-0.4899305,-0.17411959,-0.20508337,-52.85877704620361,1.0,145074,38054.0,46.45263671875
103352,83.55463861341164,0.5344957113265991,59.18107018380071,-1.0,-0.8240733,-1.0,0.3883266,-55.111223459243774,1.0,127585,41912.0,51.162109375
76551,83.5376784621857,0.5342057943344116,59.164652591927805,-0.047495127,-1.0,1.0,-0.5910711,-30.61684548854828,1.0,119869,15111.0,18.446044921875
130043,83.527220675672,0.5340271592140198,59.15452925516336,0.12663686,-1.0,-0.9501927,1.0,-20.0,1.0,143233,68603.0,83.743896484375
84404,83.49783659507578,0.5335257649421692,59.12608450843328,-1.0,-1.0,-1.0,0.38812745,-27.711026668548584,1.0,135133,22964.0,28.0322265625
64520,83.49137866958205,0.533415675163269,59.11983294811564,-1.0,-0.77359885,-0.9434937,-0.72377676,-34.85498785972595,1.0,131720,3080.0,3.759765625
124648,83.45740583509426,0.5328371524810791,59.08694526477189,-1.0,-1.0,-1.0,0.6944884,-39.53278183937073,1.0,159462,63208.0,77.158203125
78912,83.45313127701803,0.5327644348144531,59.08280718859934,-1.0,-1.0,-0.75907975,1.0,-21.814627647399902,1.0,160000,17472.0,21.328125
80111,83.40902946840944,0.5320151448249817,59.04011278885936,-0.8999259,-0.8888623,0.50242263,-0.13844967,-27.9187536239624,1.0,91558,18671.0,22.791748046875
119303,83.40226356023473,0.5319003462791443,59.03356268456573,-1.0,-1.0,-0.9828123,-0.70281875,-29.55250382423401,1.0,160000,57863.0,70.633544921875
87014,83.37899656646235,0.5315058827400208,59.01103757765787,-0.5928507,-1.0,-1.0,0.27336866,-20.0,1.0,160000,25574.0,31.21826171875
98823,83.36973175938772,0.5313489437103271,59.0020680866069,-0.32581222,-0.55097,-0.7293126,-0.50710225,-25.18922686576844,1.0,160000,37383.0,45.633544921875
127120,83.36047651957688,0.5311922430992126,58.99310780122023,-1.0,-1.0,-1.0,1.0,-35.46517848968506,1.0,129351,65680.0,80.17578125
117033,83.36005395912325,0.5311850905418396,58.99269870595855,-1.0,-0.9228201,-0.6425363,-0.9005605,-22.248942852020264,1.0,155073,55593.0,67.862548828125
137552,83.35398918261834,0.5310824513435364,58.98682717492972,-1.0,-0.46468735,0.45008355,1.0,-20.0,1.0,160000,76112.0,92.91015625
121994,83.33592428415771,0.5307769179344177,58.96933774517204,-1.0,-0.7667779,-1.0,-0.36912608,-26.391732692718502,1.0,160000,60554.0,73.91845703125
86638,83.32722757209478,0.5306299328804016,58.96091799581114,-1.0,-1.0,-0.694821,-0.18933582,-20.0,1.0,160000,25198.0,30.759277343750004
79699,83.28628993741876,0.5299389362335205,58.92128342925918,-1.0,-0.10374999,-1.0,1.0,-43.64107966423035,1.0,129566,18259.0,22.288818359375
131291,83.28628993741876,0.5299389362335205,58.92128342925918,-1.0,-1.0,-1.0,1.0,-53.275755643844604,1.0,160000,69851.0,85.267333984375
105493,83.28628993741876,0.5299389362335205,58.92128342925918,-1.0,-1.0,-1.0,1.0,-20.34740447998047,1.0,160000,44053.0,53.775634765625
79700,83.28628640239376,0.5299388766288757,58.92128000670872,-1.0,-1.0,-1.0,1.0,-42.5184291601181,1.0,160000,18260.0,22.2900390625
120748,83.26098363712583,0.5295125246047974,58.89678209581316,-1.0,-1.0,1.0,-0.7497442,-59.55966711044312,1.0,160000,59308.0,72.3974609375
104286,83.25887031750004,0.5294769406318665,58.89473597982639,-0.6334149,-0.68668735,-0.4005154,1.0,-60.0,1.0,143868,42846.0,52.30224609375001
116886,83.25843134078869,0.5294695496559143,58.89431096222629,-1.0,-1.0,-1.0,-0.18045008,-60.0,1.0,146675,55446.0,67.68310546875
