step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
1846,12.567754653544887,3.9861070035840385e-06,0.00019930535017920192,0.52829945,-0.29875433,-1.0,-0.30655068,-33.16123187541962,1.0,135841
1847,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.09883034,-1.0,-0.93810296,-1.0,-60.0,1.0,160000
1848,11.008738425837862,8.377916742574598e-07,4.188958371287299e-05,0.23533201,-0.9441554,-1.0,0.22439647,-46.19240880012512,6.455605387687683,160000
1849,8.968893118930161,1.0808785333438209e-07,5.4043926667191045e-06,-0.17899537,0.93560624,-0.5603412,-0.74407864,-56.702271699905396,1.0,38096
1850,13.902823684477795,1.514258656243328e-05,0.000757129328121664,0.039964676,-1.0,-1.0,1.0,-21.171129941940308,2.6339123249053955,160000
1851,5.292124706150857,1.7604410151861316e-09,8.802205075930658e-08,1.0,-1.0,-1.0,0.3721527,-60.0,1.0,32000
1852,8.65579732272797,7.87629588216987e-08,3.938147941084935e-06,-0.29739666,-1.0,-1.0,-0.6655233,-60.0,10.609435796737671,128281
1853,7.816544065335766,3.346031007822603e-08,1.6730155039113015e-06,-0.7877525,-1.0,0.52708167,-0.3014763,-40.59878118336201,5.3063148856163025,160000
1854,9.050132659259239,1.1731997773267722e-07,5.865998886633861e-06,0.57216716,-1.0,-1.0,0.8941932,-60.0,1.360974371433258,160000
1855,17.49758882987657,0.0005371304578147829,0.026856522890739143,-1.0,-1.0,-0.4754982,0.9852762,-20.0,1.0,160000
1856,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,-0.60581195,0.070848525,-1.0,-33.97215962409973,1.5149388313293457,160000
1857,14.745786224081588,3.514600757625885e-05,0.0017573003788129427,-0.59419286,-1.0,-1.0,0.06572893,-20.0,5.988040924072266,160000
1858,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,-0.6401935,-1.0,-1.0,-57.678093910217285,1.0,106797
1859,13.669028579138466,1.1987403013336007e-05,0.0005993701506668003,-1.0,-0.57692707,0.26424313,1.0,-33.73718321323395,1.0,60803
