step,reward
929,13.24
930,12.73
931,11.8
932,8.46
933,13.91
934,5.3
935,7.61
936,5.3
937,12.4
938,5.3
939,8.67
940,5.3
941,5.3
942,14.15
943,12.15
944,5.3
945,9.53
946,5.3
947,5.3
948,13.45
949,13.88
950,5.3
951,8.82
952,11.79
953,8.08
954,13.86
955,5.3
956,9.57
957,9.95
958,5.3
959,13.87
960,10.61
961,9.08
962,14.9
963,9.94
964,7.71
965,5.3
966,5.3
967,10.07
968,15.28
969,9.3
970,8.29
971,9.2
972,8.33
973,8.77
974,5.3
975,5.3
976,8.59
977,5.3
978,5.3
979,10.94
980,5.3
981,8.19
982,10.95
983,8.4
984,13.03
985,9.14
986,13.73
987,5.3
988,15.76
989,10.16
990,10.19
991,8.42
992,5.3
993,10.84
994,8.78
995,9.9
996,8.46
997,8.83
998,10.86
999,15.8
1000,5.3
1001,8.74
1002,9.77
1003,13.31
1004,5.8
1005,5.3
1006,14.94
1007,5.3
1008,15.47
1009,5.3
1010,5.3
1011,7.36
1012,8.15
1013,5.3
1014,8.54
1015,8.8
1016,10.86
1017,5.3
1018,5.88
1019,5.3
1020,13.72
1021,9.32
1022,9.65
1023,8.73
1024,13.03
1025,5.3
1026,5.3
1027,17.38
1028,8.05
1029,9.73
1030,11.01
1031,9.18
1032,5.3
1033,13.08
1034,8.9
1035,5.3
1036,9.77
1037,5.3
1038,9.65
1039,12.24
1040,9.5
1041,9.75
1042,5.3
1043,8.85
1044,10.53
1045,5.3
1046,8.16
1047,15.74
1048,9.65
1049,5.3
1050,11.99
1051,13.93
1052,5.3
1053,9.27
1054,9.66
1055,14.41
1056,5.3
1057,5.3
1058,5.3
1059,9.17
1060,5.3
1061,5.3
1062,10.09
1063,12.08
1064,8.48
1065,8.86
1066,5.3
1067,9.56
1068,9.64
1069,10.92
1070,12.34
1071,8.11
1072,8.4
1073,9.71
1074,8.17
1075,5.3
1076,8.95
1077,5.3
1078,11.84
1079,8.73
1080,11.37
1081,5.3
1082,9.45
1083,9.14
1084,14.58
1085,13.43
1086,5.3
1087,5.3
1088,12.39
1089,15.18
1090,9.3
1091,11.2
1092,5.3
1093,9.47
1094,5.3
1095,8.37
1096,10.52
1097,5.3
1098,9.5
1099,5.3
1100,8.86
1101,10.83
1102,12.16
1103,10.05
1104,13.45
1105,5.3
1106,8.38
1107,12.16
1108,5.3
1109,5.3
1110,5.3
1111,11.51
1112,14.28
1113,5.3
1114,9.24
1115,8.87
1116,8.34
1117,8.38
1118,5.3
1119,5.3
1120,10.25
1121,10.18
1122,5.3
1123,9.38
1124,5.3
1125,9.86
1126,11.2
1127,5.3
1128,5.24
1129,9.65
1130,9.75
1131,5.3
1132,14.89
1133,16.19
1134,10.17
1135,10.68
1136,8.83
1137,9.26
1138,5.3
1139,9.21
1140,9.43
1141,10.96
1142,8.56
1143,14.06
1144,9.93
1145,5.3
1146,5.3
1147,5.3
1148,12.11
1149,8.03
1150,5.3
1151,10.29
1152,8.54
1153,18.34
1154,8.64
1155,8.29
1156,9.27
1157,12.73
1158,8.01
1159,10.83
1160,5.3
1161,10.61
1162,5.3
1163,5.3
1164,8.42
1165,5.3
1166,5.3
1167,5.3
1168,15.8
1169,11.39
1170,8.84
1171,10.58
1172,7.83
1173,9.47
1174,5.3
1175,14.3
1176,9.58
1177,5.3
1178,10.54
1179,13.92
1180,12.91
1181,5.3
1182,9.26
1183,8.82
1184,8.25
1185,13.5
1186,5.3
1187,5.3
1188,5.3
1189,11.24
1190,7.65
1191,8.19
1192,5.3
1193,9.65
1194,8.87
1195,15.08
1196,10.81
1197,5.3
1198,8.78
1199,14.55
1200,9.06
1201,13.99
1202,10.52
1203,10.52
1204,8.07
1205,18.85
1206,14.8
1207,5.3
1208,8.65
1209,14.38
1210,12.33
1211,8.58
1212,13.64
1213,10.07
1214,8.62
1215,10.29
1216,6.91
1217,8.51
1218,11.4
1219,5.3
1220,8.33
1221,9.09
1222,8.49
1223,11.15
1224,5.3
1225,13.65
1226,5.3
1227,9.58
1228,5.3
1229,5.3
1230,11.49
1231,11.14
1232,8.79
1233,10.23
1234,8.56
1235,9.05
1236,13.08
1237,9.19
1238,5.3
1239,16.61
1240,8.79
1241,14.07
1242,9.26
1243,9.22
1244,8.53
1245,5.3
1246,9.4
1247,9.59
1248,9.09
1249,5.3
1250,5.3
1251,9.38
1252,8.96
1253,5.3
1254,5.3
1255,8.58
1256,5.3
1257,9.09
1258,5.3
1259,5.3
1260,14.24
1261,5.3
1262,13.69
1263,5.3
1264,5.3
1265,8.37
1266,8.22
1267,5.3
1268,9.51
1269,8.84
1270,5.3
1271,5.3
1272,9.31
1273,5.3
1274,5.3
1275,8.85
1276,13.93
1277,5.3
1278,5.3
1279,8.32
1280,9.73
1281,13.77
1282,9.31
1283,8.91
1284,10.84
1285,13.39
1286,8.97
1287,9.45
1288,9.82
1289,5.3
1290,9.08
1291,12.06
1292,9.37
1293,9.27
1294,5.3
1295,5.3
1296,10.82
1297,9.35
1298,9.61
1299,5.3
1300,5.3
1301,8.63
1302,8.59
1303,15.75
1304,13.88
1305,14.46
1306,6.81
1307,9.82
1308,5.3
1309,11.89
1310,5.3
1311,8.91
1312,8.81
1313,8.43
1314,11.58
1315,5.3
1316,10.27
1317,5.3
1318,5.3
1319,5.3
1320,5.3
1321,8.83
1322,8.47
1323,8.59
1324,9.49
1325,8.78
1326,9.93
1327,5.3
1328,13.75
1329,7.97
1330,11.77
1331,14.28
1332,16.89
1333,9.44
1334,10.91
1335,11.58
1336,10.15
1337,8.6
1338,12.24
1339,5.3
1340,10.9
1341,5.3
1342,5.3
1343,9.02
1344,5.3
1345,5.3
1346,9.84
1347,9.46
