step,session_step,session_progress_pct,reward,score,bonus,cluster,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,conditioned_action_0,conditioned_action_1,conditioned_action_2,conditioned_action_3,conditioned_action_4,conditioned_action_5,conditioned_action_6
327738,58,0.07080078125,17.88456153869629,2.082861811913972e-07,0.0,0,-1.0,-0.45316297,-1.0,1.0,-20.0,1.0,160000,-1.0,-0.7042752,-0.196495,1.0,0.9069059,-1.0,0.6371262,-1.0,-1.0,-0.35369098,1.0,1.0,-1.0,1.0
327739,59,0.072021484375,18.8045711517334,1.4510343362417188e-06,0.0,0,0.56743145,1.0,-1.0,1.0,-20.0,1.0,160000,1.0,1.0,-0.2894503,1.0,0.80694526,-0.49242717,1.0,1.0,1.0,-0.5210105,1.0,1.0,-0.8863689,1.0
327740,60,0.0732421875,21.064899444580078,0.00026330261607654393,0.0,0,-1.0,1.0,-1.0,1.0,-45.63602328300476,1.0,160000,-0.62441754,1.0,-1.0,1.0,-0.49849808,-1.0,1.0,-1.0,1.0,-1.0,1.0,-0.89729655,-1.0,1.0
327741,61,0.074462890625,10.039336204528809,4.298206235375801e-09,0.0,3,-1.0,1.0,-1.0,1.0,-20.0,1.0,86083,-0.44717285,1.0,-1.0,1.0,0.8551616,-0.6311911,0.2281186,-0.80491114,1.0,-1.0,1.0,1.0,-1.0,0.41061348
327742,62,0.07568359375,11.838042259216309,7.667618717732694e-08,0.0,3,0.5502654,-0.0026401877,-1.0,1.0,-52.3661208152771,1.0,123804,1.0,-0.8557023,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
327743,63,0.076904296875,10.772278785705566,2.5693839944551655e-08,0.0,3,-1.0,1.0,-1.0,1.0,-50.190606117248535,1.0,86871,-0.7365751,1.0,-1.0,1.0,-0.49512464,-1.0,0.23496002,-1.0,1.0,-1.0,1.0,-0.8912243,-1.0,0.42292804
327744,64,0.078125,18.16803741455078,1.4000928558743908e-06,0.0,3,0.5502654,1.0,-1.0,1.0,-20.0,1.0,119598,0.67729896,0.4932193,-0.12881917,1.0,1.0,-1.0,0.5190458,1.0,0.8877947,-0.2318745,1.0,1.0,-1.0,0.9342825
327745,65,0.079345703125,10.553143501281738,3.5585432378582027e-09,0.0,3,0.5502654,-0.0026401877,-1.0,1.0,-20.0,1.0,123804,0.73855114,-0.60232985,-0.12460458,0.5484325,1.0,-1.0,1.0,1.0,-1.0,-0.22428824,0.9871785,1.0,-1.0,1.0
327746,66,0.08056640625,9.639357566833496,3.842889340077704e-10,0.0,3,0.5502654,1.0,-1.0,1.0,-20.0,1.0,123804,1.0,1.0,-1.0,0.18292975,1.0,-0.1919682,1.0,1.0,1.0,-1.0,0.32927355,1.0,-0.34554276,1.0
327747,67,0.081787109375,11.992013931274414,9.908639952982412e-08,0.0,3,-1.0,-0.0026401877,-1.0,0.93909156,-42.98163592815399,1.0,123804,-0.5707655,-0.79109395,-0.3284999,-0.03317368,-0.29487544,-1.0,1.0,-1.0,-1.0,-0.59129983,-0.059712622,-0.5307758,-1.0,1.0
327748,68,0.0830078125,17.11164665222168,1.229591930496099e-07,0.0,3,-0.59881914,-0.0026401877,-1.0,1.0,-49.29435670375824,1.07918119430542,123804,-0.08282472,-1.0,-1.0,1.0,-0.4702288,-0.035646558,0.9461641,-0.1490845,-1.0,-1.0,1.0,-0.8464118,-0.064163804,1.0
327749,69,0.084228515625,9.566842079162598,2.445523228367108e-10,0.0,3,0.5502654,1.0,-0.16499501,1.0,-20.0,1.0,123804,1.0,1.0,0.46389163,1.0,1.0,-1.0,1.0,1.0,1.0,0.8350049,1.0,1.0,-1.0,1.0
327750,70,0.08544921875,8.984846115112305,5.070647721150401e-11,0.0,3,-0.1174126,0.7526612,5.9604645e-08,1.0,-20.0,1.0,123804,0.18462336,-0.13594365,0.6431265,1.0,1.0,-0.3050089,1.0,0.33232203,-0.24469857,1.0,1.0,1.0,-0.549016,1.0
327751,71,0.086669921875,7.795225620269775,5.669894415083476e-11,0.0,3,-1.0,-0.005983889,-0.27890378,1.0,-30.319361090660095,1.0,50593,-0.3105904,-1.0,0.40060902,1.0,0.05828768,-1.0,-0.0739007,-0.55906266,-1.0,0.7210962,1.0,0.104917824,-1.0,-0.13302125
327752,72,0.087890625,17.639835357666016,3.1799331168258504e-07,0.0,3,0.5408206,1.0,0.0,1.0,-30.83147883415222,1.0,123106,0.7284103,0.29231852,0.6813848,1.0,0.044062197,-1.0,1.0,1.0,0.52617335,1.0,1.0,0.07931195,-1.0,1.0
327753,73,0.089111328125,7.633723735809326,6.30079322050392e-11,0.0,3,-1.0,1.0,-1.0,1.0,-52.41771697998047,1.0,32000,-1.0,1.0,-1.0,0.5978182,-1.0,-1.0,-0.87383735,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
327754,74,0.09033203125,18.14999008178711,2.285176151417545e-06,0.0,3,-1.0,1.0,-0.4972725,0.7173568,-32.39698112010956,1.0,100599,-0.717295,1.0,0.27929306,-0.15215898,0.0005760193,-1.0,0.3601818,-1.0,1.0,0.5027275,-0.27388614,0.0010368347,-1.0,0.64832723
